config_key,K,lam_lin,lam_nonlin,seed,pred_r2,sharpe,phi,drift
"(2, 0.1, 1e-06)",2,0.1,1e-06,2048,0.011670410633087158,0.6723445957418026,0.5016134845896111,0.5313780242616702
"(2, 0.1, 1e-05)",2,0.1,1e-05,10,0.01690894365310669,0.9875393625721512,0.012106322902817443,0.8820603108348516
"(2, 0.1, 1e-05)",2,0.1,1e-05,30,0.016546785831451416,0.989173397315847,0.08204888138371896,0.9135117416639289
"(2, 0.1, 1e-05)",2,0.1,1e-05,45,0.01683187484741211,1.029683143364464,0.16375738244111696,0.8514097423037597
"(2, 0.1, 1e-05)",2,0.1,1e-05,99,0.013720333576202393,0.9714552387458051,0.0002312535454781294,0.8770868989337017
"(2, 0.1, 1e-05)",2,0.1,1e-05,2048,0.016945600509643555,0.9881544767010545,0.7394830530697178,0.9128460089925615
"(2, 0.1, 5e-05)",2,0.1,5e-05,10,0.018767714500427246,1.0157225649006607,0.2685336033810566,0.9635814829911336
"(2, 0.1, 5e-05)",2,0.1,5e-05,30,0.016535043716430664,0.9931836951976061,0.07540350019537526,0.9135121965558074
"(2, 0.1, 5e-05)",2,0.1,5e-05,45,0.018866658210754395,0.9902919062542345,0.43354025081525294,0.9384537065057703
"(2, 0.1, 5e-05)",2,0.1,5e-05,99,0.012037992477416992,0.9914300192971508,0.14513321138519,0.8881625528995342
"(2, 0.1, 5e-05)",2,0.1,5e-05,2048,0.016669154167175293,0.9916695228917562,0.41305805488012676,0.924005516221049
"(2, 0.1, 0.0001)",2,0.1,0.0001,10,0.018709421157836914,1.0073954289845408,0.2553980502070845,0.9636451308929121
"(2, 0.1, 0.0001)",2,0.1,0.0001,30,0.016503632068634033,0.9935244015536874,0.062446126436354464,0.9135474600312486
"(2, 0.1, 0.0001)",2,0.1,0.0001,45,0.018832921981811523,0.989337570128664,0.425301343612472,0.9384145484162348
"(2, 0.1, 0.0001)",2,0.1,0.0001,99,0.012203335762023926,0.9809753872472375,0.14816083850449457,0.8881136680744192
"(2, 0.1, 0.0001)",2,0.1,0.0001,2048,0.01646411418914795,0.9824551977400937,0.22512139219672714,0.8912696400927672
